Make	Model	MakeCode	FamilyCode	YearGroup	MonthGroup	SequenceNum	Description	CurrentRelease	ImportFlag	LimitedEdition	Series	SeriesModelYear	BadgeDescription	BadgeSecondaryDescription	BodyStyleDescription	BodyConfigDescription	WheelBaseConfig	Roofline	ExtraIdentification	DriveDescription	DriveCode	GearTypeDescription	GearLocationDescription	GearNum	DoorNum	EngineSize	EngineDescription	Cylinders	FuelTypeDescription	InductionDescription	OptionCategory	CamDescription	EngineTypeDescription	FuelCapacity	FuelDeliveryDescription	MethodOfDeliveryDescription	GrossCombinationMAss	GrossVehicleMass	VIN	WheelBase	Height	Length	Width	KerbWeight	TareMass	PayLoad	Power	PowerRPMFrom	PowerRPMTo	Torque	TorqueRPMFrom	TorqueRPMTo	RonRating	SeatCapacity	ModelCode	BuildCountryOriginDescription	ValvesCylinder	EngineCycleDescription	EngineConfigurationDescription	EngineLocation	EngineNum	Acceleration	FrontTyreSize	RearTyreSize	FrontRimDesc	RearRimDesc	TowingBrakes	TowingNoBrakes	WarrantyCustAssist	FreeScheduledService	WarrantyYears	WarrantyKM	FirstServiceKM	FirstServiceMonths	RegServiceMonths	AltEngEngineType	AltEngBatteryType	AltEngCurrentType	AltEngAmpHours	AltEngVolts	AltEngChargingMethod	AltEngPower	AltEngPowerFrom	AltEngPowerTo	AltEngTorque	AltEngTorqueFrom	AltEngTorqueTo	AltEngDrive	NormalChargeMins	QuickChargeMins	NormalChargeVoltage	QuickChargeVoltage	KMRangeElectricEng	ElectricEngineLocation	TopSpeedElectricEng	GreenhouseRating	AirpollutionRating	OverallGreenStarRating	CO2Combined	CO2Urban	CO2ExtraUrban	FuelUrban	FuelExtraurban	FuelCombined	EmissionStandard	MaxEthanolBlend	AncapRating	VFactsClass	VFactsSegment	VFactsPrice	IsPPlateApproved	AverageKM	GoodKM	AvgWholesale	AvgRetail	GoodWholesale	GoodRetail	TradeMin	TradeMax	PrivateMax	NewPrice	Colour	Branch	SaleCategory	Sold_Date	Compliance_Date	Age_Comp_Months	KM	Sold_Amount
Toyota	Hiace	TOYO	HIACE	2010	0	11	KDH223R MY10 Commuter Bus High Roof Super LWB 14st 5dr Auto 4sp 3.0DT	F	L	F	KDH223R	MY10	Commuter	NULL	Bus	NULL	Extra Long Wheelbase	High Roof	NULL	Rear Wheel Drive	RWD	Automatic	Dash	4	5	2982	3.0	4	Diesel	Turbo Intercooled	BUS	Double Overhead Cam	Piston	70	Direct Injection	Electronic Sequential	4200	3200	JTFHS22P900001001	3110	2285	5380	1880	2140	NULL	1060	80.00	NULL	3000	286	NULL	1200	NULL	14	KDH223R-LEPDYQ	JAPAN	4	4 Stroke	In-line	Front	1KD-######	NULL	195 R15 C 8PR	195 R15 C 8PR	15x6.0	15x6.0	1400	400	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	3.00	2.50	251	NULL	NULL	NULL	NULL	9.60	NULL	NULL	3	Light Commercial	Light Buses	< 20 seats	T	210	140	25600	30400	28600	33900	23100	26400	31300	57890	045 - White Solid (T)	Hobart (TAS)	Auction	2016-02-02 00:00:00.000	07/2010	67	225137	22000.00
Toyota	Kluger	TOYO	KLUGER	2015	11	9	GSU55R GX Wagon 7st 5dr Spts Auto 6sp AWD 3.5i	F	L	F	GSU55R	NULL	GX	NULL	Wagon	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Sports Automatic	Floor	6	5	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	72	Multi-Point Injection	Electronic Sequential	NULL	2740	5TDBK3FH00S######	2790	1730	4865	1925	2020	1975	720	201.00	NULL	6200	337	NULL	4700	91	7	GSU55R-ARTNKQ	UNITED STATES	4	4 Stroke	V	Front	2GR#######	NULL	245/60 R18	245/60 R18	18x7.5J	18x7.5J	2000	700	NULL	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	7.50	3.50	246	334	195	14.40	8.40	10.60	Euro 4	NULL	5	SUV	Large	< $70K	T	50	30	29950	35500	32800	38750	27300	30400	35800	46190	1H1 - Predawn Grey (T)	Sunshine (VIC)	Dealer Only Auction	2017-05-10 00:00:00.000	02/2016	15	18195	36200.00
Ford	Ranger	FORD	RANGER	2010	0	5	PK XL Hi-Rider Cab Chassis Super Cab 4dr Man 5sp 1172kg 3.0DT	F	L	F	PK	NULL	XL	Hi-Rider	Cab Chassis	Extended Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Manual	Floor	5	4	2953	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	70	Direct Injection	Electronic Sequential	4717	2917	MNA?S1E90?W######	2985	1622	5077	1723	1745	NULL	1172	115.00	NULL	3200	380	NULL	1800	NULL	4	57938	THAILAND	4	4 Stroke	In-line	Front	WEAT-######	NULL	235/75 R15	235/75 R15	15x6.5	15x6.5	3000	750	NULL	NULL	3	100000	NULL	NULL	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	4.00	2.50	251	309	217	11.70	8.20	9.50	NULL	NULL	3	Light Commercial	PU/CC 4X2	NULL	T	210	140	8400	11100	9950	12950	7300	9000	11600	29990	White	Hobart (TAS)	Auction	2016-01-05 00:00:00.000	06/2010	67	258346	8800.00
Subaru	XV	SUBA	XV	2013	0	1	G4X MY13 2.0i Wagon 5dr Lineartronic 6sp AWD	F	L	F	G4X	MY13	2.0i	NULL	Wagon	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Constantly Variable Transmission	S/Wheel & Floor	6	5	1995	2.0	4	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	60	Multi-Point Injection	Electronic Sequential	3340	1940	JF1GP7KC5DG######	2635	1615	4450	1780	1420	1380	520	110.00	NULL	6200	196	NULL	4200	91	5	GP7BKFC	JAPAN	4	4 Stroke	Horizontal	Front	FB20 ?######	10.70	225/55 R17	225/55 R17	17x7.0	17x7.0	1400	750	NULL	NULL	3	-1	12500	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.00	8.50	4.50	162	205	137	8.90	5.90	7.00	Euro 5	NULL	5	SUV	Small	< $40K	T	100	60	15150	18600	17050	20800	13300	15300	18900	30990	Burgundy	Sunshine (VIC)	Special Fixed Price	2016-10-14 00:00:00.000	04/2013	42	86954	18298.00
Nissan	Pulsar	NISS	PULSAR	2014	0	1	B17 ST Sedan 4dr CVT 1sp 1.8i	F	L	F	B17	NULL	ST	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Constantly Variable Transmission	Floor	1	4	1798	1.8	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	52	Multi-Point Injection	Electronic Sequential	NULL	1740	MNTBAAB17A0######	2700	1495	4615	1760	1255	1230	485	96.00	NULL	6000	174	NULL	4800	91	5	PULSARASST	THAILAND	4	4 Stroke	In-line	Front	MRA8-######?	NULL	195/60 R16	195/60 R16	16x6.5	16x6.5	1100	750	Roadside Assist	NULL	3	100000	10000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.50	6.50	4.00	160	211	130	8.90	5.40	6.70	Euro 4	NULL	5	Passenger	Small	< $40K	T	75	45	9000	11000	10650	12650	7900	9600	11800	22290	Silver	Belmore (NSW)	Fixed Price	2016-04-02 00:00:00.000	02/2014	26	60303	12000.00
Holden	Colorado	HOLD	COLORAD	2013	0	4	RG MY13 LX Cab Chassis Crew Cab 4dr. Spts Auto 6sp 1172kg 2.8DT	F	L	F	RG	MY13	LX	NULL	Cab Chassis	Dual Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	4	2776	2.8	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	6000	3100	MMU147CH0DH######	3096	1780	5127	1882	1805	NULL	1172	132.00	NULL	3800	470	NULL	2000	NULL	5	82K432D2	THAILAND	4	4 Stroke	In-line	Front	APR G102######	NULL	245/70 R16	245/70 R16	16x6.5	16x6.5	3500	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	3.00	2.50	245	302	212	11.30	7.90	9.10	Euro 4	NULL	5	Light Commercial	PU/CC 4X2	NULL	T	120	80	16200	19850	18200	22150	14200	16400	20200	35990	White	Geebung (QLD)	Dealer Only Auction	2018-01-17 00:00:00.000	08/2013	53	99482	16512.00
Toyota	Corolla	TOYO	COROLLA	2015	0	9	ZRE172R Ascent Sedan 4dr S-CVT 7sp 1.8i	F	L	F	ZRE172R	NULL	Ascent	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Constantly Variable Transmission	Floor	7	4	1798	1.8	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	55	Multi-Point Injection	Electronic Sequential	NULL	1735	MR053REH2042#####	2700	1460	4620	1776	1280	1245	455	103.00	NULL	6400	173	NULL	4000	91	5	ZRE172R-GEXDKQ	THAILAND	4	4 Stroke	In-line	Front	2ZR-#######	NULL	195/65 R15	195/65 R15	15x6.0	15x6.0	1300	450	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.50	7.50	4.50	153	200	125	8.60	5.40	6.60	Euro 4	E10	5	Passenger	Small	< $40K	T	50	30	12950	15000	14700	16900	11400	13200	15800	22990	040 - Glacier White (T)	Belmore (NSW)	Dealer Only Auction	2017-07-12 00:00:00.000	10/2015	21	44299	14000.00
Volkswagen	Golf	VOLK	GOLF	2016	5	36	VII MY17 Alltrack 132TSI Wagon 5dr DSG 6sp 4MOTION 1.8T	F	L	F	VII	MY17	Alltrack	132TSI	Wagon	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Sports Automatic Dual Clutch	Floor	6	5	1798	1.8	4	Petrol - Premium ULP	Turbo Intercooled	SUV	Double Overhead Cam	Piston	55	Direct & Multi-Point Injection	Electronic Sequential	NULL	NULL	WVWZZZAUZH?######	2630	1496	4578	1799	NULL	1479	NULL	132.00	4500	6200	280	1350	4500	95	5	BA5CZR/17	GERMANY	4	4 Stroke	In-line	Front	CJSB*#####	7.80	205/55 R17	205/55 R17	17x7.0	17x7.0	1500	750	3 year Roadside	NULL	3	-1	15000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	158	190	135	8.20	5.80	6.70	Euro 5	NULL	NULL	SUV	Medium	< $60K	T	25	15	26800	31850	29400	34850	24400	27200	32100	38340	Z2Z2 - Night Blue Metallic (VW)	Chullora (NSW)	Dealer Only Auction	2017-10-11 00:00:00.000	01/2017	9	3537	29500.00
Toyota	Landcruiser Prado	TOYO	PRADO	2012	0	8	KDJ150R GX Wagon 5dr Spts Auto 5sp 4x4 3.0DT	F	L	F	KDJ150R	NULL	GX	NULL	Wagon	NULL	NULL	NULL	NULL	4X4 Constant	4XC	Sports Automatic	Floor	5	5	2982	3.0	4	Diesel	Turbo Intercooled	SUV	Double Overhead Cam	Piston	150	Direct Injection	Electronic Sequential	5490	2990	JTEBH9FJ305######	2790	1845	4930	1885	2210	2320	780	127.00	NULL	3400	410	1600	2800	NULL	5	KDJ150R-GKAEYQ	JAPAN	4	4 Stroke	In-line	Front	1KD-#######	NULL	245/70 R17	245/70 R17	17x6.5	17x6.5	2500	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.50	3.00	2.50	225	278	193	10.60	7.30	8.50	Euro 4	NULL	5	SUV	Large	< $70K	T	130	80	28750	34100	31750	37550	26100	29400	34700	58490	040 - Glacier White (T)	Darwin (NT)	Auction	2017-11-09 00:00:00.000	02/2012	69	147555	26000.00
Toyota	Hilux	TOYO	HILUX	2010	0	20	GGN25R MY10 SR Utility Dual Cab 4dr Auto 5sp 4x4 1045kg 4.0i	F	L	F	GGN25R	MY10	SR	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4	4X4	Automatic	Floor	5	4	3956	4.0	6	Petrol - Unleaded ULP	Aspirated	CC	DOHC with VVT	Piston	76	Multi-Point Injection	Electronic Sequential	5060	2810	MR0FU22G100######	3085	1810	5130	1760	1765	1765	1045	175.00	NULL	5200	343	2400	4800	91	5	GGN25R-PRADKQ	THAILAND	4	4 Stroke	V60	Front	1GR-#######	NULL	205 R16 C	205 R16 C	16x6.0	16x6.0	2250	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3.50	5.50	2.50	308	NULL	NULL	NULL	NULL	13.00	NULL	NULL	4	Light Commercial	PU/CC 4x4	NULL	T	210	140	18950	23000	21500	25850	16800	19500	23700	44890	040 - Glacier White (T)	Belmore (NSW)	Auction	2016-05-16 00:00:00.000	11/2010	66	68195	21000.00
Subaru	Forester	SUBA	FORESTE	2012	0	5	S3 MY12 XS Wagon 5dr Spts Auto 4sp AWD 2.5i	F	L	F	S3	MY12	XS	NULL	Wagon	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Sports Automatic	Floor	4	5	2498	2.5	4	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	60	Multi-Point Injection	Electronic Sequential	3415	2015	JF2SHMKS5CG######	2615	1700	4560	1795	1490	1450	525	126.00	NULL	5800	235	NULL	4100	91	5	SHMDKBS	JAPAN	4	4 Stroke	Horizontal	Front	FB25 ?######	10.20	225/55 R17	225/55 R17	17x7.0	17x7.0	1400	750	NULL	NULL	3	-1	12500	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	6.50	3.50	220	293	178	12.50	7.50	9.30	Euro 4	NULL	5	SUV	Medium	< $60K	T	130	80	15600	17900	17700	20150	13800	15900	18900	36990	Silver	Perth (WA)	Auction	2017-01-31 00:00:00.000	08/2012	53	104305	15250.00
Toyota	Hilux	TOYO	HILUX	2012	0	14	KUN16R MY12 SR Cab Chassis Single Cab 2dr Man 5sp 1285kg 3.0DT	F	L	F	KUN16R	MY12	SR	NULL	Cab Chassis	Single Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Manual	Floor	5	2	2982	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	5030	2780	MR0CZ12G000######	3085	1680	4980	1760	1495	NULL	1285	126.00	NULL	3600	343	1400	3400	NULL	3	KUN16R-TRMDYQ3	THAILAND	4	4 Stroke	In-line	Front	1KD-#######	NULL	205/70 R15 C	205/70 R15 C	15x6.0	15x6.0	2250	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	214	NULL	NULL	10.70	6.60	8.10	NULL	NULL	NULL	Light Commercial	PU/CC 4X2	NULL	T	150	100	13950	17250	15850	19400	12300	14300	17600	26990	040 - Glacier White (T)	Belmore (NSW)	Auction	2016-11-09 00:00:00.000	01/2012	58	116641	14700.00
Ford	Falcon	FORD	FALCON	2012	0	2	FG MkII XT EcoLPi Sedan 4dr Spts Auto 6sp 4.0Gi	F	L	F	FG MkII	NULL	XT	EcoLPi	Sedan	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	4	3984	4.0	6	LPG only	Aspirated	PASS	DOHC with VVT	Piston	88	Multi-Point Injection	Electronic Sequential	NULL	NULL	6FPAAAJGSWC*#####	2838	1453	4955	1868	1757	1718	NULL	198.00	NULL	5000	409	NULL	3250	NULL	5	NULL	AUSTRALIA	4	4 Stroke	In-line	Front	JGSW8R#####	NULL	215/60 R16	215/60 R16	16x6.5	16x6.5	2300	750	1 year roadside	NULL	3	100000	3000	4	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	8.50	4.50	199	299	142	18.50	8.70	12.30	Euro 4	NULL	5	Passenger	Large	< $70K	T	130	80	8900	11700	10450	13500	7700	9400	12100	39735	Lightning Strike	Perth (WA)	Dealer Only Auction	2016-03-09 00:00:00.000	01/2012	50	49408	12440.00
Nissan	X-Trail	NISS	X-TRAIL	2011	0	5	T31 Series IV ST-L Wagon 5dr CVT 1sp 4x4 2.5i	F	L	F	T31	Series IV	ST-L	NULL	Wagon	NULL	NULL	NULL	NULL	4X4 On Demand	4XO	Constantly Variable Transmission	Floor	1	5	2488	2.5	4	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	65	Multi-Point Injection	Electronic Sequential	4100	2100	JN1T#NT31A0######	2630	1700	4635	1790	NULL	1529	NULL	125.00	NULL	6000	226	NULL	4400	91	5	NULL	JAPAN	4	4 Stroke	In-line	Front	QR25-######?	NULL	215/60 R17	215/60 R17	17x6.5	17x6.5	2000	750	roadside assist	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	6.50	3.50	214	270	182	11.50	7.70	9.10	NULL	NULL	4	SUV	Medium	< $60K	T	150	90	11850	14850	13700	16950	10400	12300	15300	38490	Black	Belmore (NSW)	Auction	2017-03-08 00:00:00.000	02/2012	61	72772	14900.00
Isuzu	D-MAX	ISUZ	D-MAX	2010	5	22	MY10 SX Utility Dual Cab 4dr Man 5sp 4x4 985kg 3.0DT	F	L	F	NULL	MY10	SX	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4 Dual Range	4XD	Manual	Floor	5	4	2999	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	5900	2900	MP1TFS85JAT######	3050	1750	5030	1800	1915	1860	985	120.00	NULL	3600	360	1800	2800	NULL	5	GORZA019	THAILAND	4	4 Stroke	In-line	Front	4JJ1 **####	NULL	245/70 R16 LT	245/70 R16 LT	16x7.0	16x7.0	3000	750	3yr/100000km Roadsid	NULL	3	100000	3000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.50	3.00	2.50	222	277	191	10.50	7.20	8.40	Euro 4	NULL	3	Light Commercial	PU/CC 4x4	NULL	T	210	140	14250	17550	16300	19950	12500	14700	18100	38600	White	Wagga Wagga (NSW)	Auction	2017-03-30 00:00:00.000	08/2010	79	215298	10250.00
Subaru	Outback	SUBA	OUTBACK	2008	0	5	B4A MY08 Premium Pack Wagon 5dr Spts Auto 4sp AWD 2.5i	F	L	F	B4A	MY08	Premium Pack	NULL	Wagon	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Sports Automatic	S/Wheel & Floor	4	5	2457	2.5	4	Petrol - Unleaded ULP	Aspirated	SUV	Overhead Cam	Piston	64	Multi-Point Injection	Electronic Sequential	3470	1970	JF2BP9KLA8G##2###	2670	1545	4730	1770	1440	1420	530	127.00	NULL	6000	226	NULL	4400	91	5	BP9EKSL/P	JAPAN	4	4 Stroke	Horizontal	Front	NULL	10.90	215/55 R17	215/55 R17	17x7.0	17x7.0	1500	750	NULL	NULL	3	-1	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.50	6.50	3.50	223	303	177	12.90	7.50	9.50	NULL	NULL	5	SUV	Large	< $70K	T	230	140	9450	11450	11500	13550	8300	10400	12600	44490	Silver	Belmore (NSW)	Auction	2016-06-23 00:00:00.000	12/2008	90	125854	10200.00
Toyota	Hilux	TOYO	HILUX	2012	0	26	KUN26R MY12 SR Cab Chassis Double Cab 4dr Man 5sp 4x4 915kg 3.0DT	F	L	F	KUN26R	MY12	SR	NULL	Cab Chassis	Dual Cab	NULL	NULL	NULL	4X4	4X4	Manual	Floor	5	4	2982	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	5280	2780	MR0FZ22G700######	3085	1850	4980	1760	1865	NULL	915	126.00	NULL	3600	343	1400	3400	NULL	5	KUN26R-PRMDYQ3	THAILAND	4	4 Stroke	In-line	Front	1KD-#######	NULL	205 R16 C	205 R16 C	16x6.0	16x6.0	2500	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	219	NULL	NULL	10.30	7.10	8.30	NULL	NULL	4	Light Commercial	PU/CC 4x4	NULL	T	150	100	21700	26100	24300	28950	19600	22300	26600	40490	040 - Glacier White (T)	Adelaide (SA)	Special Fixed Price	2017-01-21 00:00:00.000	07/2012	54	93971	28800.00
Toyota	Hilux	TOYO	HILUX	2012	0	32	KUN26R MY12 SR Utility Double Cab 4dr Auto 4sp 4x4 840kg 3.0DT	F	L	F	KUN26R	MY12	SR	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4	4X4	Automatic	Floor	4	4	2982	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	5280	2780	MR0FZ22G700######	3085	1850	5135	1760	1940	1885	840	126.00	NULL	3600	343	1400	3400	NULL	5	KUN26R-PRPDYQ	THAILAND	4	4 Stroke	In-line	Front	1KD-#######	NULL	205 R16 C	205 R16 C	16x6.0	16x6.0	2500	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	245	NULL	NULL	11.70	7.90	9.30	NULL	NULL	4	Light Commercial	PU/CC 4x4	NULL	T	150	100	24050	28700	26750	31750	21700	24600	29300	44490	040 - Glacier White (T)	Geebung (QLD)	Dealer Only Auction	2017-06-30 00:00:00.000	04/2012	62	164947	22000.00
Holden	Commodore	HOLD	COMMODO	2016	0	13	VF II MY16 Evoke Sportwagon 5dr. Spts Auto 6sp 3.0i	F	L	F	VF II	MY16	Evoke	NULL	Wagon	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	5	2997	3.0	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	71	Direct Injection	Electronic Sequential	NULL	NULL	6G1FA8*#*GL######	2915	1474	4919	1898	NULL	1678	NULL	185.00	NULL	6700	290	NULL	2600	91	5	8EK35-178	AUSTRALIA	4	4 Stroke	V60	Front	LFW#########	NULL	225/60 R16	225/60 R16	16x7.0	16x7.0	1600	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	206	286	160	12.00	6.70	8.60	Euro 4	E10	5	Passenger	Large	< $70K	T	25	15	22150	26550	24500	29200	20000	22500	26900	37490	Nitrate	Sunshine (VIC)	Auction	2017-12-05 00:00:00.000	03/2016	21	52154	17600.00
Toyota	Aurion	TOYO	AURION	2013	0	0	GSV50R AT-X Sedan 4dr Spts Auto 6sp 3.5i	F	L	F	GSV50R	NULL	AT-X	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3700	2100	6T1BF3FK80X######	2775	1470	4835	1825	1525	1480	575	200.00	NULL	6200	336	NULL	4700	91	5	GSV50R-JETDKQ	AUSTRALIA	4	4 Stroke	V60	Front	2GR-#######	NULL	215/60 R16	215/60 R16	16x6.5	16x6.5	1600	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	8.50	4.00	215	307	162	13.30	7.00	9.30	Euro 4	NULL	5	Passenger	Large	< $70K	T	100	60	10100	13100	11900	14950	8900	10700	13400	36490	3R3 - Wildfire (T)	Perth (WA)	Auction	2016-12-20 00:00:00.000	05/2013	43	154791	9000.00
Toyota	Aurion	TOYO	AURION	2014	0	0	GSV50R AT-X Sedan 4dr Spts Auto 6sp 3.5i	F	L	F	GSV50R	NULL	AT-X	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	4	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	70	Multi-Point Injection	Electronic Sequential	3700	2100	6T1BF3FK80X######	2775	1470	4835	1825	1525	1480	575	200.00	NULL	6200	336	NULL	4700	91	5	GSV50R-JETDKQ	AUSTRALIA	4	4 Stroke	V60	Front	2GR-#######	NULL	215/60 R16	215/60 R16	16x6.5	16x6.5	1600	500	NULL	NULL	3	100000	5000	3	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	8.50	4.00	215	307	162	13.30	7.00	9.30	Euro 4	NULL	5	Passenger	Large	< $70K	T	75	45	12350	15350	14050	17300	10800	12600	15700	36490	4S2 - Magnetic Bronze (T)	Belmore (NSW)	Special Fixed Price	2016-06-25 00:00:00.000	03/2014	27	63709	16350.00
